Country,Region,DeathsPer1000,Years,DeathsPer100_000
Mongolia,East and Southeast Asia,8.6,71.9,41
Montenegro,Europe,3.1,78.2,6
Montserrat,Central America and the Caribbean,9.4,76.1,
Morocco,Africa,17.8,74.2,70
Mozambique,Africa,56.7,58.3,82
Namibia,Africa,27.1,65.9,139
Nauru,Australia and Oceania,7.5,68.6,273
Nepal,South Asia,23.4,73,142
Netherlands,Europe,3.6,81.9,4
New Caledonia,Australia and Oceania,4.8,79.3,
New Zealand,Australia and Oceania,3.3,82.9,7
Nicaragua,Central America and the Caribbean,14.1,74.7,60
Niger,Africa,63,60.9,350
Nigeria,Africa,65.6,62.2,993
North Macedonia,Europe,6.8,77.3,3
Northern Mariana Islands,Australia and Oceania,11.6,77.1,
Norway,Europe,1.8,82.9,1
Oman,Middle East,13.6,77.4,13
Pakistan,South Asia,50.3,70.3,155
Palau,Australia and Oceania,10.6,75.2,89
Panama,Central America and the Caribbean,13.2,79.2,37
Papua New Guinea,East and Southeast Asia,31.3,70.1,189
Paraguay,South America,21.4,78.8,58
Peru,South America,10.6,68.9,51
Philippines,East and Southeast Asia,18.5,70.8,84
Poland,Europe,4.6,76.7,2
Portugal,Europe,2.4,81.9,15
Puerto Rico,Central America and the Caribbean,5.7,82.1,11
Qatar,Middle East,6.2,80.3,4
Romania,Europe,5.3,76.9,12
Russia,Central Asia,6.4,72.3,9
Rwanda,Africa,27.4,66.6,229
Saint Barthelemy,Central America and the Caribbean,6.3,81,
"Saint Helena, Ascension, and Tristan da Cunha",Africa,17.5,80.9,
Saint Kitts and Nevis,Central America and the Caribbean,7.9,77.6,74
Saint Lucia,Central America and the Caribbean,11.3,79.4,44
Saint Martin,Central America and the Caribbean,6.3,81,
Saint Pierre and Miquelon,North America,7.6,81.8,
Saint Vincent and the Grenadines,Central America and the Caribbean,12,77.2,56
Samoa,Australia and Oceania,17.2,75.7,101
San Marino,Europe,6.1,84.2,8
Sao Tome and Principe,Africa,41.7,67.7,75
Saudi Arabia,Middle East,11.4,77.2,7
Senegal,Africa,30.4,70.6,237
Serbia,Europe,4.4,75.3,11
Seychelles,Africa,10,76.6,42
Sierra Leone,Africa,70.1,59.4,354
Singapore,East and Southeast Asia,1.5,86.7,6
Sint Maarten,Central America and the Caribbean,7.5,79.7,
Slovakia,Europe,5,77.2,4
Slovenia,Europe,1.8,82.2,3
Solomon Islands,Australia and Oceania,18.6,77.2,123
Somalia,Africa,81.5,56.5,563
South Africa,Africa,19.7,71.9,118
South Sudan,Africa,58.6,60.3,692
Spain,Europe,2.4,83,3
Sri Lanka,South Asia,6.8,76.8,18
Sudan,Africa,39.7,67.8,256
Suriname,South America,29.3,72.7,84
Sweden,Europe,2.2,82.9,4
Switzerland,Europe,3,83.9,5
Syria,Middle East,14.7,74.8,20
Taiwan,East and Southeast Asia,3.8,81.6,
Tajikistan,Central Asia,20.3,71.9,14
Tanzania,Africa,28.4,70.8,276
Thailand,East and Southeast Asia,6.2,78.2,34
Timor-Leste,East and Southeast Asia,41.9,70.5,192
Togo,Africa,34.5,72.1,349
Tonga,Australia and Oceania,11.5,78,67
Trinidad and Tobago,Central America and the Caribbean,14.7,76.5,54
Tunisia,Africa,10.6,77.3,36
Turkey (Turkiye),Middle East,17.9,76.7,15
Turkmenistan,Central Asia,35,72.4,5
Turks and Caicos Islands,Central America and the Caribbean,10.8,81.3,
Tuvalu,Australia and Oceania,27.2,69,170
Uganda,Africa,27.5,69.7,170
Ukraine,Europe,8.4,70.5,15
United Arab Emirates,Middle East,4.9,79.9,3
United Kingdom,Europe,3.7,82.2,8
United States,North America,5,80.9,17
Uruguay,South America,6.9,78.9,15
Uzbekistan,Central Asia,17.6,76.2,26
Vanuatu,Australia and Oceania,13.4,75.7,100
Venezuela,South America,13.6,74.5,227
Vietnam,East and Southeast Asia,13.8,76.1,48
Virgin Islands,Central America and the Caribbean,7.2,80.7,
Wallis and Futuna,Australia and Oceania,3.8,81.1,
West Bank,Middle East,14.2,76.5,16
Yemen,Middle East,42.4,68.2,118
Zambia,Africa,30.1,66.9,85
Zimbabwe,Africa,32.8,67.2,358
